huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,odu/pel,c,2018-06-06t00:00:00,ap,37.58847,-76.16216,9,m,15,liter,cb6.1,12,08:32:00
,,phytp,odu/pel,c,2018-06-06t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,08:32:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,ap,37.58847,-76.16216,4,m,15,liter,cb6.1,13,07:48:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,07:48:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,ap,37.58847,-76.16216,3,m,15,liter,cb6.1,13,15:20:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,bp,37.58847,-76.16216,12.5,m,15,liter,cb6.1,13,15:20:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,ap,37.58847,-76.16216,6,m,15,liter,cb6.1,12,15:43:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,bp,37.58847,-76.16216,11.5,m,15,liter,cb6.1,12,15:43:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,ap,37.58847,-76.16216,4,m,15,liter,cb6.1,13,15:06:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,bp,37.58847,-76.16216,12.5,m,15,liter,cb6.1,13,15:06:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,ap,37.58847,-76.16216,9,m,15,liter,cb6.1,12,08:35:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,08:35:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,ap,37.23653,-76.20799,4,m,15,liter,cb6.4,10,14:52:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,bp,37.23653,-76.20799,9.5,m,15,liter,cb6.4,10,14:52:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,ap,37.23653,-76.20799,4,m,15,liter,cb6.4,10,17:12:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,bp,37.23653,-76.20799,9.5,p,15,liter,cb6.4,10,17:12:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,ap,37.23653,-76.20799,5,m,15,liter,cb6.4,10,13:19:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,bp,37.23653,-76.20799,9.5,m,15,liter,cb6.4,10,13:19:00
,,phytp,odu/pel,c,2018-10-17t00:00:00,ap,37.23653,-76.20799,7,m,15,liter,cb6.4,10,10:26:00
,,phytp,odu/pel,c,2018-10-17t00:00:00,bp,37.23653,-76.20799,9.5,p,15,liter,cb6.4,10,10:26:00
,,phytp,odu/pel,c,2018-11-20t00:00:00,ap,37.23653,-76.20799,3,m,15,liter,cb6.4,10,09:03:00
,,phytp,odu/pel,c,2018-11-20t00:00:00,bp,37.23653,-76.20799,9.5,p,15,liter,cb6.4,10,09:03:00
,,phytp,odu/pel,c,2018-12-12t00:00:00,ap,37.23653,-76.20799,7,m,15,liter,cb6.4,10,07:52:00
,,phytp,odu/pel,c,2018-12-12t00:00:00,bp,37.23653,-76.20799,9.5,p,15,liter,cb6.4,10,07:52:00
,,phytp,odu/pel,c,2018-06-06t00:00:00,ap,37.22875,-76.05383,1,p,15,liter,cb7.3e,22,12:22:00
,,phytp,odu/pel,c,2018-06-06t00:00:00,bp,37.22875,-76.05383,21.5,p,15,liter,cb7.3e,22,12:22:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,ap,37.22875,-76.05383,5,p,15,liter,cb7.3e,19,12:06:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,bp,37.22875,-76.05383,18.5,p,15,liter,cb7.3e,19,12:06:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,ap,37.22875,-76.05383,5,m,15,liter,cb7.3e,20,11:50:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,bp,37.22875,-76.05383,19.5,p,15,liter,cb7.3e,20,11:50:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,ap,37.22875,-76.05383,6,p,15,liter,cb7.3e,19,12:25:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,bp,37.22875,-76.05383,18.5,p,15,liter,cb7.3e,19,12:25:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,ap,37.22875,-76.05383,15,m,15,liter,cb7.3e,20,12:04:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,bp,37.22875,-76.05383,19.5,p,15,liter,cb7.3e,20,12:04:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,ap,37.22875,-76.05383,1,m,15,liter,cb7.3e,22,12:16:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,bp,37.22875,-76.05383,21.5,p,15,liter,cb7.3e,22,12:16:00
,,phytp,odu/pel,c,2018-06-07t00:00:00,ap,36.9957,-76.02048,1,p,15,liter,cb7.4,14,08:59:00
,,phytp,odu/pel,c,2018-06-07t00:00:00,bp,36.9957,-76.02048,13.5,p,15,liter,cb7.4,14,08:59:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,ap,36.9957,-76.02048,4,p,15,liter,cb7.4,14,13:42:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,bp,36.9957,-76.02048,13.5,p,15,liter,cb7.4,14,13:42:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,ap,36.9957,-76.02048,4,p,15,liter,cb7.4,14,09:16:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,bp,36.9957,-76.02048,13.5,p,15,liter,cb7.4,14,09:16:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,ap,36.9957,-76.02048,7,p,15,liter,cb7.4,15,10:45:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,bp,36.9957,-76.02048,14.5,p,15,liter,cb7.4,15,10:45:00
,,phytp,odu/pel,c,2018-10-23t00:00:00,ap,36.9957,-76.02048,3,p,15,liter,cb7.4,15,09:26:00
,,phytp,odu/pel,c,2018-10-23t00:00:00,bp,36.9957,-76.02048,14.5,p,15,liter,cb7.4,15,09:26:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,ap,36.9957,-76.02048,5,m,15,liter,cb7.4,15,09:46:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,bp,36.9957,-76.02048,14.5,p,15,liter,cb7.4,15,09:46:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,ap,36.9957,-76.02048,2,m,15,liter,cb7.4,15,14:35:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,bp,36.9957,-76.02048,14.5,p,15,liter,cb7.4,15,14:35:00
,,phytp,odu/pel,c,2018-06-06t00:00:00,ap,37.5968,-76.28467,2,m,15,liter,le3.6,9,09:20:00
,,phytp,odu/pel,c,2018-06-06t00:00:00,bp,37.5968,-76.28467,8.5,m,15,liter,le3.6,9,09:20:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,ap,37.5968,-76.28467,4,m,15,liter,le3.6,9,08:43:00
,,phytp,odu/pel,c,2018-07-11t00:00:00,bp,37.5968,-76.28467,8.5,m,15,liter,le3.6,9,08:43:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,ap,37.5968,-76.28467,4,m,15,liter,le3.6,9,16:04:00
,,phytp,odu/pel,c,2018-08-06t00:00:00,bp,37.5968,-76.28467,8.5,m,15,liter,le3.6,9,16:04:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,ap,37.5968,-76.28467,2,m,15,liter,le3.6,9,15:02:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,bp,37.5968,-76.28467,8.5,m,15,liter,le3.6,9,15:02:00
,,phytp,odu/pel,c,2018-11-13t00:00:00,ap,37.5968,-76.28467,3,m,15,liter,le3.6,9,07:54:00
,,phytp,odu/pel,c,2018-11-13t00:00:00,bp,37.5968,-76.28467,8.5,m,15,liter,le3.6,9,07:54:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,ap,37.5968,-76.28467,7,m,15,liter,le3.6,10,09:18:00
,,phytp,odu/pel,c,2018-12-13t00:00:00,bp,37.5968,-76.28467,9.5,m,15,liter,le3.6,10,09:18:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,ap,36.99903,-76.31328,3,m,15,liter,le5.5-w,6,12:04:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,bp,36.99903,-76.31328,5.5,p,15,liter,le5.5-w,6,12:04:00
,,phytp,odu/pel,c,2018-08-08t00:00:00,ap,36.99903,-76.31328,4,p,15,liter,le5.5-w,8,09:45:00
,,phytp,odu/pel,c,2018-08-08t00:00:00,bp,36.99903,-76.31328,7.5,p,15,liter,le5.5-w,8,09:45:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,ap,36.99903,-76.31328,2,m,15,liter,le5.5-w,10,17:15:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,bp,36.99903,-76.31328,9.5,m,15,liter,le5.5-w,10,17:15:00
,,phytp,odu/pel,c,2018-10-17t00:00:00,ap,36.99903,-76.31328,3,m,15,liter,le5.5-w,8,11:49:00
,,phytp,odu/pel,c,2018-10-17t00:00:00,bp,36.99903,-76.31328,7.5,p,15,liter,le5.5-w,8,11:49:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,ap,36.99903,-76.31328,3,m,15,liter,le5.5-w,8,07:46:00
,,phytp,odu/pel,c,2018-11-12t00:00:00,bp,36.99903,-76.31328,7.5,m,15,liter,le5.5-w,8,07:46:00
,,phytp,odu/pel,c,2018-12-11t00:00:00,ap,36.99903,-76.31328,2,m,15,liter,le5.5-w,7,11:23:00
,,phytp,odu/pel,c,2018-12-11t00:00:00,bp,36.99903,-76.31328,6.5,m,15,liter,le5.5-w,7,11:23:00
,,phytp,odu/pel,c,2018-06-12t00:00:00,ap,37.9173,-76.8222,1,n,15,liter,ret3.1,6,12:50:00
,,phytp,odu/pel,c,2018-07-05t00:00:00,ap,37.9173,-76.8222,1,n,15,liter,ret3.1,4,13:15:00
,,phytp,odu/pel,c,2018-08-14t00:00:00,ap,37.9173,-76.8222,1,n,15,liter,ret3.1,6,12:30:00
,,phytp,odu/pel,c,2018-09-11t00:00:00,ap,37.9173,-76.8222,2,n,15,liter,ret3.1,4,12:25:00
,,phytp,odu/pel,c,2018-10-10t00:00:00,ap,37.9173,-76.8222,1,n,15,liter,ret3.1,9,13:20:00
,,phytp,odu/pel,c,2018-06-19t00:00:00,ap,37.50869,-76.78889,1,n,15,liter,ret4.3,6,10:00:00
,,phytp,odu/pel,c,2018-07-31t00:00:00,ap,37.50869,-76.78889,2,n,15,liter,ret4.3,6,10:00:00
,,phytp,odu/pel,c,2018-08-21t00:00:00,ap,37.50869,-76.78889,2,n,15,liter,ret4.3,7,10:15:00
,,phytp,odu/pel,c,2018-09-20t00:00:00,ap,37.50869,-76.78889,2,n,15,liter,ret4.3,7,10:00:00
,,phytp,odu/pel,c,2018-10-25t00:00:00,ap,37.50869,-76.78889,2,n,15,liter,ret4.3,7,11:00:00
,,phytp,odu/pel,c,2018-07-10t00:00:00,ap,37.20294,-76.78219,2,n,15,liter,ret5.2,11,10:00:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,ap,37.20294,-76.78219,2,n,15,liter,ret5.2,9,10:00:00
,,phytp,odu/pel,c,2018-09-05t00:00:00,ap,37.20294,-76.78219,1,n,15,liter,ret5.2,11,10:30:00
,,phytp,odu/pel,c,2018-10-02t00:00:00,ap,37.20294,-76.78219,2,n,15,liter,ret5.2,11,10:20:00
,,phytp,odu/pel,c,2018-06-12t00:00:00,ap,36.76987,-76.29605,3,n,15,liter,sbe5,7,10:45:00
,,phytp,odu/pel,c,2018-07-18t00:00:00,ap,36.76987,-76.29605,2,n,15,liter,sbe5,9,11:50:00
,,phytp,odu/pel,c,2018-08-15t00:00:00,ap,36.76987,-76.29605,2,n,15,liter,sbe5,4,11:00:00
,,phytp,odu/pel,c,2018-10-22t00:00:00,ap,36.76987,-76.29605,4,n,15,liter,sbe5,6,11:30:00
,,phytp,odu/pel,c,2018-06-12t00:00:00,ap,38.01847,-76.90928,1,n,15,liter,tf3.3,7,13:20:00
,,phytp,odu/pel,c,2018-07-05t00:00:00,ap,38.01847,-76.90928,2,n,15,liter,tf3.3,6,13:40:00
,,phytp,odu/pel,c,2018-08-14t00:00:00,ap,38.01847,-76.90928,1,n,15,liter,tf3.3,7,13:00:00
,,phytp,odu/pel,c,2018-09-11t00:00:00,ap,38.01847,-76.90928,1,n,15,liter,tf3.3,8,12:55:00
,,phytp,odu/pel,c,2018-10-10t00:00:00,ap,38.01847,-76.90928,1,n,15,liter,tf3.3,8,13:50:00
,,phytp,odu/pel,c,2018-06-19t00:00:00,ap,37.57999,-77.02128,1,n,15,liter,tf4.2,7,13:20:00
,,phytp,odu/pel,c,2018-07-26t00:00:00,ap,37.57999,-77.02128,1,n,15,liter,tf4.2,7,12:20:00
,,phytp,odu/pel,c,2018-08-21t00:00:00,ap,37.57999,-77.02128,2,n,15,liter,tf4.2,8,10:05:00
,,phytp,odu/pel,c,2018-09-18t00:00:00,ap,37.57999,-77.02128,3,n,15,liter,tf4.2,8,11:15:00
,,phytp,odu/pel,c,2018-10-16t00:00:00,ap,37.57999,-77.02128,1,n,15,liter,tf4.2,8,10:25:00
,,phytp,odu/pel,c,2018-07-10t00:00:00,ap,37.31265,-77.23283,1,n,15,liter,tf5.5,10,12:10:00
,,phytp,odu/pel,c,2018-08-07t00:00:00,ap,37.31265,-77.23283,1,n,15,liter,tf5.5,10,11:40:00
,,phytp,odu/pel,c,2018-09-05t00:00:00,ap,37.31265,-77.23283,1,n,15,liter,tf5.5,11,11:45:00
,,phytp,odu/pel,c,2018-10-02t00:00:00,ap,37.31265,-77.23283,1,n,15,liter,tf5.5,10,11:45:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,ap,37.24181,-76.38634,2,m,15,liter,we4.2,12,17:11:00
,,phytp,odu/pel,c,2018-07-09t00:00:00,bp,37.24181,-76.38634,11.5,m,15,liter,we4.2,12,17:11:00
,,phytp,odu/pel,c,2018-08-08t00:00:00,ap,37.24181,-76.38634,4,m,15,liter,we4.2,13,07:08:00
,,phytp,odu/pel,c,2018-08-08t00:00:00,bp,37.24181,-76.38634,12.5,p,15,liter,we4.2,13,07:08:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,ap,37.24181,-76.38634,3,m,15,liter,we4.2,12,14:55:00
,,phytp,odu/pel,c,2018-09-26t00:00:00,bp,37.24181,-76.38634,11.5,m,15,liter,we4.2,12,14:55:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,ap,37.24181,-76.38634,5,m,15,liter,we4.2,13,10:29:00
,,phytp,odu/pel,c,2018-10-15t00:00:00,bp,37.24181,-76.38634,12.5,m,15,liter,we4.2,13,10:29:00
,,phytp,odu/pel,c,2018-11-13t00:00:00,ap,37.24181,-76.38634,4,m,15,liter,we4.2,12,11:31:00
,,phytp,odu/pel,c,2018-11-13t00:00:00,bp,37.24181,-76.38634,11.5,m,15,liter,we4.2,12,11:31:00
,,phytp,odu/pel,c,2018-12-11t00:00:00,ap,37.24181,-76.38634,4,m,15,liter,we4.2,13,14:51:00
,,phytp,odu/pel,c,2018-12-11t00:00:00,bp,37.24181,-76.38634,12.5,m,15,liter,we4.2,13,14:51:00
